Audio/Voice (Live),transcription;filename
Audio/Voice (Data Collection),transcription;filename
Chat/Text,transcription;filename
Virtual Assistant/Text,transcription;filename
Social/Text,transcription;filename
Email/Text,transcription;filename
Synthetic/Text,transcription;filename
